Date,New visitors SEO,New visitors CPC,New visitors Social Media,Return visitors,Twitter mentions,Twitter follower adds,Twitter followers cumulative,Mailing list adds ,Mailing list cumulative,Website Pageviews,Website Visits,Website Unique Visits,Mobile uniques,Tablet uniques,Desktop uniques,Free sign up,Paid conversion,Events
1/1/2013,2194,338,56,225,1,0,189,0,1872,25313,8438,2813,281,563,1969,1406,84,
1/2/2013,1653,254,42,169,0,1,190,2,1874,25424,8475,2119,212,424,1483,847,59,
1/3/2013,2213,340,57,227,2,2,192,0,1874,25534,8511,2837,284,567,1986,1135,68,
1/4/2013,2223,342,57,228,0,0,192,3,1877,25645,8548,2849,285,570,1995,855,51,
1/5/2013,1674,258,43,172,0,1,193,2,1879,25756,8585,2146,215,429,1502,644,45,
1/6/2013,1681,259,43,172,0,2,195,2,1881,25867,8622,2156,216,431,1509,862,60,
1/7/2013,2533,390,65,260,0,0,195,1,1882,25977,12989,3247,325,649,2273,1299,65,
1/8/2013,2544,391,65,261,0,2,197,0,1882,26088,13044,3261,326,652,2283,1304,65,
1/9/2013,2554,393,65,262,0,-1,196,0,1882,26199,13099,3275,327,655,2292,982,49,
1/10/2013,2565,395,66,263,0,2,198,0,1879,26310,13155,3289,329,658,2302,1644,82,
1/11/2013,1717,264,44,176,2,0,198,3,1882,26420,8807,2202,220,440,1541,1101,77,
1/12/2013,2299,354,59,236,0,-1,197,0,1881,26531,8844,2948,295,590,2064,884,44,
1/13/2013,2598,400,67,266,0,1,198,3,1884,26642,13321,3330,333,666,2331,1665,117,
1/14/2013,1739,268,45,178,0,0,198,0,1881,26752,8917,2229,223,446,1561,669,33,
1/15/2013,3492,537,90,358,1,0,198,3,1884,26863,13432,4477,448,895,3134,895,54,
1/16/2013,3507,539,90,360,2,-1,197,0,1881,26974,13487,4496,450,899,3147,1349,94,
1/17/2013,1761,271,45,181,0,-1,196,0,1880,27085,9028,2257,226,451,1580,677,41,
1/18/2013,2652,408,68,272,0,2,198,0,1877,27195,13598,3399,340,680,2380,680,41,
1/19/2013,2662,410,68,273,0,1,199,3,1880,27306,13653,3413,341,683,2389,1365,68,
1/20/2013,1782,274,46,183,0,1,200,1,1881,27417,9139,2285,228,457,1599,457,32,
1/21/2013,1789,275,46,184,0,0,200,0,1880,27528,9176,2294,229,459,1606,1147,69,
1/22/2013,1796,276,46,184,0,2,202,0,1879,27638,9213,2303,230,461,1612,1152,81,
